Species ID;Added;Last update;Last state change;Current state;Scientific name(s);Synonym(s);Local name(s) (en);Local name(s) (fr);Local name(s) (nl);Family;Group;Origin(s);Habitat(s);Introduction pathway(s);Category;ISEIA score;First observation;Spatial distribution;Invasion stage;Already invasive in (if any);Reproduction (Belgium);Reproduction (Wallonia);Reproduction (Flanders);Risk Analysis;Dispersion potential;Natural habitats;Predation / Herbivory;Competition;Disease transmission;Genetic effects;Nutrient cycling;Physical alteration;Natural successions;Food web alteration;Contributors;Maritime;Flandrian;Kempen;Brabant;Meuse;Ardenne;Lorraine
78;2007/05/31 at 15:27:51;2013/12/11 at 16:19:31;2009/03/23 at 12:12:45;published;Nyctereutes procyonoides;;Raccoon dog;Chien viverrin;Wasbeerhond;Canidae;Mammals;Asia;terrestrial;;b1;9;2010;isolated;naturalization;;yes;yes;;yes;high;high;medium;medium;likely;low;low;low;low;unlikely;Branquart Etienne, Licoppe Alain, Motte Grégory, Schockert Vinciane, Stuyck Jan, Van Den Berge Koen;;;;;;isolated;
114;2008/02/14 at 13:34:05;2011/01/11 at 17:19:45;2009/03/16 at 10:26:40;published;Oenothera spp.;O. biennis, O. deflexa, O. glazioviana.;Evening primrose;Onagre;Teunisbloem;Onagraceae;Vascular plants;North America;terrestrial;agri- and horticulture;c;7;1792;widespread;spread;;yes;yes;yes;no;medium;medium;low;medium;;low;;;unlikely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;isolated;widespread
79;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Oncorhynchus mykiss;;Rainbow trout;Truite arc-en-ciel;Regenboogforel;Salmonidae;Fish;North America;freshwater;;b2;1;1884;restricted;;;no;no;no;no;;;weak;strong;weak;weak;;;;;Branquart Etienne;;;;;;;
28;2007/05/31 at 15:27:49;2011/08/02 at 15:53:39;2007/09/18 at 18:15:17;published;Ondatra zibethicus;;Muskrat;Rat musqué;Muskusrat;Muridae;Mammals;North America;freshwater;fur farming;a3;12;1928;widespread;spread;;yes;yes;yes;no;high;high;high;likely;likely;low;medium;high;high;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;widespread;widespread;widespread;widespread;widespread;widespread;widespread
80;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Orthodontium lineare;;Cape thread-moss;;Geelsteeltje;Orthodontiaceae;Bryophytes;;terrestrial;;b2;1;1945;restricted;;;yes;;;no;;;no;weak;no;no;;;;;Branquart Etienne;;;;;;;
81;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Ovis ammon;;Mouflon;Mouflon;;Bovidae;Mammals;Europe;terrestrial;;c;1;1938;isolated;naturalization;;yes;yes;no;no;;;no;no;no;no;;;;;Branquart Etienne;;;;;;;
22;2007/05/31 at 15:27:49;2013/12/11 at 16:33:42;2007/08/24 at 10:06:17;published;Oxyura jamaicensis;;Ruddy duck;Erismature rousse;Rosse stekelstaart;Anatidae;Birds;North America;freshwater;pets and domestic animals;b0;10;;;;France, Norway, Spain, Sweden, United Kingdom;no;;;yes;high;high;low;high;low;high;low;low;low;;Anselin Anny, Branquart Etienne, Strubbe Diederik, Weiserbs Anne;;;;;;;
133;2010/07/23 at 12:43:05;2011/03/18 at 15:00:11;2010/07/23 at 12:43:05;published;Parthenocissus spp.;P. inserta, P. quinquefolia, P. vitacea;(false) virginia creeper;Vigne vierge;(valse) wingerd;Vitaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b3;10;1880;widespread;spread;;yes;yes;yes;no;high;high;low;likely;low;unlikely;;likely;likely;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;widespread;widespread;widespread;widespread;widespread;isolated;isolated
89;2007/05/31 at 15:27:51;2009/03/27 at 11:54:03;2007/09/19 at 11:59:33;published;Pelophylax ridibundus;Rana ridibunda;Marsh frog;Grenouille rieuse;Meerkikker, Grote groene kikker;Ranidae;Amphibians and reptiles;Asia, Europe;freshwater;aquariums and ponds;a2;11;1975;restricted;spread;;yes;yes;yes;no;high;high;medium;high;likely;high;;;;likely;Branquart Etienne, Mergeay Joachim, Percsy Christiane;isolated;widespread;widespread;widespread;widespread;isolated;isolated
82;2007/05/31 at 15:27:51;2013/12/11 at 15:42:49;2009/03/23 at 12:08:38;published;Perccottus glenii;Perccottus glehni;Rotan, Amur sleeper;Goujon de l'amour;Amurgrondel;Odontobutidae;Fish;Asia;freshwater, brackish;accidental, aquariums and ponds, game/fish stocking;a0;11;;;;Bulgaria, Estonia, Hungary, Latvia, Lithuania, Poland, Romania, Russian Federation, Serbia, Slovakia, Ukraine;no;;;yes;medium;high;high;high;likely;low;;;likely;high;Branquart Etienne, Verreycken Hugo;;;;;;;
85;2007/05/31 at 15:27:51;2010/12/22 at 17:22:08;2007/12/04 at 17:55:21;published;Persicaria wallichii;Polygonum polystachyum;Himalayan knotweed;Renouée de l'himalaya;Afgaanse duizendknoop;Polygonaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;b2;10;1898;restricted;naturalization;;yes;yes;yes;no;high;medium;low;high;low;low;likely;likely;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;widespread;widespread;isolated;isolated;isolated
111;2007/11/27 at 16:17:26;2010/12/17 at 15:07:45;2009/03/16 at 10:42:37;published;Phytolacca americana;Phytolacca decandra;American pokeweed;Raisin d'Amérique;Westerse karmozijnbes;Phytolaccaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b0;9;;;;France, Italy, Portugal, Spain, Switzerland;no;;;no;likely;likely;low;high;low;low;;;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;;;;;;
4;2007/05/31 at 15:27:41;2010/01/26 at 15:40:49;2007/06/11 at 16:47:23;published;Pimephales promelas;;Fathead minnow;Vairon américain;Dikkopelrits;Cyprinidae;Fish;North America;freshwater;game/fish stocking;b2;9;1986;restricted;spread;;yes;yes;yes;no;medium;high;low;medium;high;low;low;low;low;low;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;;;isolated;widespread;isolated;;
83;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Pinus nigra nigra;;Austrina pine;Pin noir d'autriche;Oostenrijkse den;Pinaceae;Vascular plants;Europe;terrestrial;;b2;1;;restricted;;;yes;yes;yes;no;;;no;weak;no;no;;;;;Branquart Etienne;;;;;;;
84;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Polemonium caeruleum;;Jacob's ladder;Polémoine;Jakobsladder;Polemoniaceae;Vascular plants;Asia, Europe;terrestrial;;b1;1;1864;isolated;spread;;yes;yes;no;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
150;2013/12/11 at 16:32:33;2013/12/11 at 16:32:33;2013/12/11 at 16:32:33;pending;Procambarus clarkii;;Red swamp crayfish;Ecrevisse de louisiane;Rode rivierkreeft;;Other invertebrates;North America;freshwater;aqua- and mariculture;c;6;;isolated;naturalization;;yes;;yes;yes;;high;;;high;;;;;;Etienne Branquart;;;;;;;
29;2007/05/31 at 15:27:49;2009/02/02 at 14:46:10;2007/09/18 at 18:17:04;published;Procyon lotor;;Raccoon;Raton laveur;Wasbeer;Procyonidae;Mammals;North America;terrestrial;fur farming, game/fish stocking;a2;11;1986;restricted;spread;;yes;yes;no;no;high;high;high;likely;likely;low;low;low;low;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;;;;;isolated;widespread;isolated
112;2007/11/27 at 16:54:04;2010/12/22 at 16:11:40;2007/12/04 at 17:57:49;published;Prunus laurocerasus;Lauroceraus officinalis;Cherry laurel;Laurier cerise;Kerslaurier;Rosaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;b1;9;1994;isolated;naturalization;;yes;yes;;no;high;likely;low;likely;likely;low;;likely;likely;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;widespread;isolated;widespread;isolated;;
14;2007/05/31 at 15:27:49;2012/09/14 at 09:57:13;2007/11/21 at 17:37:36;published;Prunus serotina;Padus serotina;Black cherry;Cerisier tardif;Amerikaanse vogelkers;Amygdalaceae;Vascular plants;North America;terrestrial;forestry;a3;12;1890;widespread;spread;;yes;yes;yes;no;high;high;low;high;low;low;medium;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Vanhellemont Margot, Van Landuyt Wouter, Van Rossum Fabienne, Verheyen Kris, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
5;2007/05/31 at 15:27:41;2007/06/11 at 17:06:10;2007/06/11 at 17:06:10;published;Pseudorasbora parva;;Stone moroko, Topmouth gudgeon;Goujon asiatique;Blauwband(-grondel);Cyprinidae;Fish;Asia;freshwater;game/fish stocking;a2;11;1989;restricted;spread;;yes;yes;yes;no;high;high;likely;high;high;low;low;low;low;medium;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;widespread;widespread;widespread;widespread;isolated;;
86;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Pseudotsuga menziesii;;Douglas fir;Douglas;Douglasspar;Pinaceae;Vascular plants;North America;terrestrial;;b1;1;;isolated;;;yes;yes;;no;;;no;;no;no;;;;;Branquart Etienne;;;;;;;
23;2007/05/31 at 15:27:49;2009/09/29 at 09:59:01;2007/06/29 at 10:23:56;published;Psittacula krameri;;Ring-necked parakeet;Perruche à collier;Halsbandparkiet;Psittacidae;Birds;Africa, Asia;terrestrial;pets and domestic animals;b2;9;1966;restricted;spread;;yes;yes;yes;no;high;high;likely;medium;likely;low;low;low;low;;Anselin Anny, Branquart Etienne, Strubbe Diederik, Weiserbs Anne;;;isolated;widespread;isolated;;
87;2007/05/31 at 15:27:51;2012/10/12 at 16:24:42;2007/12/04 at 18:00:25;published;Quercus rubra;Quercus borealis;Red oak;Chêne rouge;Amerikaanse eik;Fagaceae;Vascular plants;North America;terrestrial;agri- and horticulture, forestry;b3;10;1950;widespread;spread;;yes;yes;yes;no;medium;likely;low;high;low;low;high;likely;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
88;2007/05/31 at 15:27:51;2013/12/11 at 15:59:30;2007/09/19 at 11:09:17;published;Rana catesbeiana;Lithobates catesbeianus;American bullfrog;Grenouille taureau;Stierkikker;Ranidae;Amphibians and reptiles;North America;freshwater;aquariums and ponds;a1;12;1996;isolated;spread;;yes;yes;yes;yes;high;high;high;high;high;low;low;low;;high;Branquart Etienne, Laudelout Arnaud, Louette Gerald, Martin Youri, Percsy Christiane;;isolated;widespread;isolated;;;
90;2007/05/31 at 15:27:51;2011/08/02 at 15:54:47;2009/04/08 at 14:43:50;published;Rattus norvegicus;;Brown rat;Rat surmulot;Bruine rat;Muridae;Mammals;Asia;freshwater;accidental;a3;11;1730;widespread;stabilization;;yes;yes;yes;no;high;high;high;likely;likely;low;likely;medium;likely;likely;Branquart Etienne, Stuyck Jan.;widespread;widespread;widespread;widespread;widespread;widespread;widespread
91;2007/05/31 at 15:27:51;2011/02/09 at 10:46:43;2007/12/04 at 18:02:27;published;Rhododendron ponticum;;Rhododendron;Rhododendron;Pontische rododendron;Ericaceae;Vascular plants;Asia, Europe;terrestrial;agri- and horticulture;a2;11;1920;restricted;spread;;yes;yes;yes;no;medium;high;low;high;likely;low;high;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;widespread;widespread;widespread;widespread;;;
113;2007/11/28 at 13:40:37;2011/04/13 at 10:04:05;2007/12/04 at 18:03:27;published;Rhus typhina;Rhus hirta;Staghorn sumac;Sumac;Fluweelboom;Anacardiaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b1;10;1898;isolated;naturalization;;yes;yes;yes;no;medium;medium;low;high;low;low;;high;likely;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;isolated;isolated;widespread;isolated;isolated;isolated
15;2007/05/31 at 15:27:49;2015/08/14 at 08:02:57;2007/06/18 at 12:10:22;published;Robinia pseudoacacia;;Black locust;Robinier faux-acacia;Gewone robinia;Fabaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b3;10;1856;widespread;;;yes;yes;yes;no;medium;medium;low;high;low;low;high;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
92;2007/05/31 at 15:27:51;2010/12/07 at 14:25:48;2007/12/04 at 18:05:21;published;Rosa rugosa;;Rugosa rose;Rosier rugueux;Rimpelroos;Rosaceae;Vascular plants;Asia;terrestrial;agri- and horticulture;a3;12;1934;widespread;spread;;yes;;yes;no;high;high;low;high;likely;medium;high;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;isolated;isolated;isolated
93;2007/05/31 at 15:27:51;2010/12/22 at 17:20:51;2009/03/16 at 11:04:58;published;Rudbeckia laciniata;;Cutleaf coneflower;Rudbéckie laciniée;Slipbladige rudbeckia;Asteraceae;Vascular plants;North America;terrestrial;agri- and horticulture;b1;10;1849;isolated;stabilization;;yes;yes;yes;no;medium;medium;low;high;low;low;;likely;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip.;;isolated;isolated;;;;isolated
94;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Salvelinus fontinalis;;Brook trout;Omble de fontaine, saumon de fontaine;Bronforel;Salmonidae;Fish;North America;freshwater;;b1;1;1884;isolated;;;no;no;no;no;;;strong;strong;no;weak;;;;;Branquart Etienne;;;;;;;
6;2007/05/31 at 15:27:41;2008/01/11 at 17:25:43;2007/09/13 at 15:42:05;published;Sander lucioperca;Stizostedion lucioperca;Zander, Pike-perch;Sandre;Snoekbaars;Percidae;Fish;Europe;freshwater;game/fish stocking;b3;9;1890;widespread;spread;;yes;yes;yes;no;high;medium;medium;medium;medium;low;low;low;low;likely;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;widespread;widespread;widespread;widespread;widespread;widespread;isolated
30;2007/05/31 at 15:27:49;2013/12/11 at 16:21:55;2007/06/29 at 15:18:55;published;Sciurus carolinensis;;Grey squirrel;Ecureuil gris;Grijze eekhoorn;Sciuridae;Mammals;North America;terrestrial;pets and domestic animals;a0;11;;;;Ireland, Italy, United Kingdom;no;;;yes;high;high;medium;high;high;low;low;medium;low;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;;;;;;;
149;2013/12/11 at 16:27:23;2013/12/11 at 16:27:23;2013/12/11 at 16:27:23;pending;Sciurus niger;;Fox squirrel;Ecureuil fauve;Zwarte eekhoorn;;Mammals;;;;c;5;;;;;no;;;yes;medium;high;;;;;;;;;Etienne Branquart;;;;;;;
16;2007/05/31 at 15:27:49;2010/12/22 at 17:23:40;2008/07/11 at 13:00:12;published;Senecio inaequidens;;South african ragwort;Sénecon sud-africain;Bezemkruiskruid;Asteraceae;Vascular plants;Africa;terrestrial;accidental;b3;10;1892;widespread;spread;;yes;yes;yes;no;high;high;low;medium;low;;medium;medium;medium;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
95;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Silurus glanis;;Wels catfish;Silure glane;Meerval;Siluridae;Fish;Europe;freshwater;;b2;1;1982;restricted;spread;;yes;yes;yes;no;;;strong;strong;no;no;;;;;Branquart Etienne;;;;;;;
146;2011/07/05 at 11:26:29;2011/07/05 at 11:58:27;2011/07/05 at 11:58:27;published;Solidago canadensis;Solidago altissima;Canada goldenrod;Solidage du canada;Canadese guldenroede;Asteraceae;Vascular plants;North America;terrestrial;agri- and horticulture;a3;11;1863;widespread;spread;;yes;yes;yes;no;high;medium;low;high;low;medium;likely;medium;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
17;2007/05/31 at 15:27:49;2010/12/22 at 17:31:19;2007/09/18 at 18:35:10;published;Solidago gigantea;;Giant goldenrod;Solidage glabre;Late guldenroede;Asteraceae;Vascular plants;North America;terrestrial;agri- and horticulture;a3;11;1869;widespread;spread;;yes;yes;yes;no;high;medium;low;high;low;;high;medium;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;widespread;widespread;widespread;widespread;widespread;widespread;widespread
97;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Spartina townsendii;;Townsend's cord-grass;Spartine de townsend;Engels slijkgras;Poaceae;Vascular plants;North America;freshwater, marine;;a1;1;1924;isolated;naturalization;;yes;no;yes;no;;;no;strong;no;strong;;;;;Branquart Etienne;;;;;;;
141;2010/12/13 at 06:27:09;2010/12/13 at 12:47:42;2010/12/13 at 12:47:42;published;Spiraea alba;;Meadowsweet;Spirée blanche;Witte spirea;Rosaceae;Vascular plants;North America;terrestrial;agri- and horticulture;a2;11;1803;restricted;spread;;yes;yes;yes;no;medium;high;low;high;low;low;;high;high;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;isolated;widespread;isolated;widespread;widespread;widespread
139;2010/12/13 at 04:01:44;2010/12/16 at 16:55:14;2010/12/13 at 12:47:53;published;Spiraea douglasii;;Douglas' spirea;Spirée de douglas;Douglasspirea;Rosaceae;Vascular plants;North America;terrestrial;agri- and horticulture;a2;11;1885;restricted;spread;;yes;yes;yes;no;medium;high;low;high;low;low;;high;high;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;isolated;widespread;widespread;isolated;isolated;isolated
98;2007/05/31 at 15:27:51;2010/12/13 at 12:48:52;2007/12/05 at 15:42:17;draft;Spiraea spp.;S. douglasii, S. alba, S. x billardii;Meadowsweet;Spirée;Pluimspirea;Rosaceae;Vascular plants;North America;terrestrial;agri- and horticulture;a2;11;1803;restricted;spread;;yes;yes;yes;no;high;high;low;high;low;low;;likely;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;isolated;widespread;widespread;widespread;widespread;isolated
140;2010/12/13 at 05:27:57;2010/12/14 at 13:07:13;2010/12/13 at 12:48:08;published;Spiraea tomentosa;;Steeplebush;Spirée tomenteuse;Viltige pluimspirea;Rosaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b1;9;1870;isolated;spread;;yes;yes;yes;no;medium;high;low;likely;low;low;;likely;likely;low;Branquart Etienne, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;;isolated;widespread;isolated;;;
142;2010/12/13 at 09:53:52;2010/12/16 at 16:54:43;2010/12/13 at 12:48:25;published;Spiraea x billardii;;Billard's bridewort;Spirée de billard;Billardspirea;Rosaceae;Vascular plants;North America;terrestrial;agri- and horticulture;b2;9;1895;restricted;spread;;yes;yes;yes;no;medium;likely;low;high;low;low;;likely;likely;low;Branquart Etienne, Dupriez Pascal, Vanderhoeven Sonia, Van Landuyt Wouter, Van Rossum Fabienne, Verloove Filip;isolated;isolated;widespread;widespread;widespread;widespread;isolated
100;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Tadorna ferruginea;;Ruddy shelduck;Tadorne casarca;Casarca;Anatidae;Birds;Asia;freshwater;;c;1;1981;isolated;naturalization;;yes;no;yes;no;;;;;no;no;;;;;Branquart Etienne;;isolated;isolated;isolated;;;
31;2007/05/31 at 15:27:49;2009/03/13 at 11:02:42;2007/06/12 at 12:23:01;published;Tamias sibiricus;;Siberian chipmunk;Ecureuil de corée;Aziatische grondeekhoorn;Sciuridae;Mammals;Asia;terrestrial;pets and domestic animals;b1;9;1969;isolated;spread;;yes;yes;yes;no;medium;high;likely;likely;likely;low;low;low;low;likely;Branquart Etienne, D'aes Margo, Manet Benoît, Motte Grégory, Schockert Vinciane, Stuyck Jan;isolated;;isolated;isolated;;;
24;2007/05/31 at 15:27:49;2013/12/11 at 16:33:58;2008/02/14 at 12:12:58;published;Threskiornis aethiopica;Tantalus aethiopicus;Sacred ibis;Ibis sacré;Heilige ibis;Threskiornithidae;Birds;Africa;freshwater;pets and domestic animals;a0;11;;;;France;no;;;yes;high;high;high;likely;;low;low;medium;low;low;Anselin Anny, Branquart Etienne, Strubbe Diederik, Weiserbs Anne;;;;;;;
101;2007/05/31 at 15:27:51;;2007/05/31 at 15:27:51;pending;Trachemys scripta;;Red-eared slider;Tortue de californie;Roodwangschildpad;Emydidae;Amphibians and reptiles;North America;freshwater;;b2;1;1979;restricted;stabilization;;no;no;no;no;;;strong;;no;no;;;;;Branquart Etienne;;;;;;;
7;2007/05/31 at 15:27:41;2007/06/11 at 16:46:43;2007/06/11 at 16:46:43;published;Umbra pygmaea;;Eastern mudminnow;Umbre pygmée, Poisson chien;Amerikaanse hondsvis;Umbridae;Fish;North America;freshwater;game/fish stocking;c;8;1920;restricted;stabilization;;yes;yes;yes;no;medium;high;low;medium;;low;low;low;low;low;Anseeuw Dieter, Branquart Etienne, Lieffrig François, Micha Jean-Claude, Parkinson Denis, Verreycken Hugo;;;widespread;;;isolated;
