scientificName	gbifapi_usageKey	gbifapi_acceptedScientificName	gbifapi_acceptedKey	status	remark	accordingTo
Oenothera cruciata Nutt. ex G. Don	7926755	Oenothera parviflora L.	3188833	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/tro-23201349
Oenothera depressa Greene	6428493	Oenothera villosa subsp. villosa	6427623	verify: SYNONYM probably invalid	considered synonym of Oenothera strigosa var. depressa	http://www.theplantlist.org/tpl1.1/record/tro-23202102
Oenothera glazioviana f. rubricalyx (R.R.Gates) Lambinon	3666059	Oenothera perangusta Gates	7322738	ok: SYNONYM probably valid	accepted name is in plants	http://alienplantsbelgium.be/taxonomy/term/4687/descriptions
Oenothera rubricalyx R.R.Gates	3665866	Oenothera perangusta Gates	7322738	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/kew-2399568
Orobanche ramosa L.	3173272	Phelipanche ramosa (L.) Pomel	3728894	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/tro-23201349
Osteospermum jucundum (E.Phillips) Norl.	3093587	Dimorphotheca jucunda E.Phillips	5402340	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/gcc-97069
Oxalis stricta L.	2891666	Oxalis dillenii Jacq.	2891677	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/kew-2394269
Panicum capillare subsp. barbipulvinatum (Nash) Tzvelev	8536910	Panicum capillare L.	2705162			
Panicum capillare subsp. capillare	6449040	Panicum capillare L.	2705162			
Panicum capillare subsp. hillmanii (Chase) Freckmann & Lelong	4153082	Panicum hillmanii Chase	2705098	ok: SYNONYM valid	synonym in same direction	http://alienplantsbelgium.be/taxonomy/term/6050/descriptions
Panicum chloroticum Nees ex Trin.	8357651	Panicum dichotomiflorum Michx.	2705144			
Panicum miliaceum subsp. agricola H.Scholz & Mikoláš	4134826	Panicum miliaceum L.	2705090			
Panicum miliaceum subsp. ruderale (Kitag.) Tzvelev	4134741	Panicum miliaceum L.	2705090			
Papaver somniferum subsp. setigerum (DC.) Arcangeli	8242032	Papaver setigerum DC.	3602227			
Parthenocissus inserta (A. Kerner) Fritsch	3039203	Parthenocissus vitacea (Knerr) A.S. Hitchc.	3039193	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/5306/descriptions
Paspalum notatum var. saurae Parodi	4106609	Paspalum saurae (Parodi) Parodi	4154259	verify: SYNONYM unresolved	both considered synonyms of Paspalum notatum	http://alienplantsbelgium.be/taxonomy/term/6246/descriptions
Pastinaca sativa subsp. urens (Req. ex Godr.) Celak.	7466434	Pastinaca sativa subsp. sativa	7224157	verify: SYNONYM probably invalid	considered synonym of Pastinaca umbrosa Steven	http://www.theplantlist.org/tpl1.1/record/tro-1702999
Pelargonium capitatum (L.) Aiton	8112856	Pelargonium capitatum	2891613	ok: SYNONYM valid	accepted has no author	
Pentaschistis airoides (Nees) Stapf	4145907	Pentameris airoides (Nees) Steud.	4146851	ok: SYNONYM probably valid	other author, should be verified further	
Persicaria pensylvanica (L.) G. Maza	8026804	Persicaria pensylvanica (L.) M. Gómez	8263906	ok: SYNONYM probably valid	other author, should be verified further	
Persicaria perfoliata (L.) H. Gross	4033648	Truellum perfoliatum (L.) Soják	4037171	verify: SYNONYM probably invalid	considered synonym of Polygonum perfoliatum L.	http://www.theplantlist.org/tpl1.1/record/kew-2572612
Persicaria wallichii W. Greuter & Burdet	6391908	Rubrivena polystachya (Wall.) M. Král	4037343	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2572263
Petrorhagia nanteuilii (Burnat) P. W. Ball & Heywood	3085622	Petrorhagia nanteuilii (Bumat) P. W. Ball & Heywood	8693157	ok: SYNONYM author variation	author variation	
Petunia parviflora Juss.	2928906	Calibrachoa parviflora (Jussieu) W.G. D'Arcy	7823026	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/tro-29600085
Phalaris arundinacea var. picta L.	5289757	Phalaris arundinacea L.	5289756			
Phalaris paradoxa var. paradoxa	6067713	Phalaris paradoxa L.	5289758			
Phalaris paradoxa var. praemorsa (Lam.) Coss. & Durieu	8008561	Phalaris paradoxa L.	5289758			
Photinia beauverdiana var. notabilis (C. K. Schneider) Rehd. & E. H. Wilson	5363895	Photinia beauverdiana C.K. Schneid.	5363891			
Phuopsis stylosa (Trin.) Hook.f. ex B.D.Jacks.	2903387	Phuopsis stylosa (Trin.) G.Nicholson	7671397	ok: SYNONYM probably valid	other author, should be verified further	
Physalis angulata var. angulata	7300041	Physalis angulata L.	5341792			
Physalis angulata var. pendula (Rydb.) Waterf.	5341795	Physalis angulata L.	5341792			
Physalis ixocarpa Brot. ex Hornem.	6402873	Physalis philadelphica subsp. ixocarpa (Brot. ex Hornem.) Sobr.-Vesp. & Sanz-Elorza	5581168			
Physalis minima L.	5341772	Physalis lagascae Roem. & Schult.	5341775			
Pilosella bauhini Arv.-Touv.	6300805	Pilosella piloselloides subsp. bauhini (Schult.) S.Bräut. & Greuter	8111836			
Pilosella duplex (Peter) Holub	3134993	Hieracium duplex Peter	3134985	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/gcc-117533
Pilosella flagellaris (Willd.) P.D.Sell & C.West	7764066	Pilosella flagellaris (Willd.) Arv.-Touv.	3123262	ok: SYNONYM probably valid	other author, should be verified further	
Pilosella florentoides (Arv.-Touv.) P.D.Sell & C.West	3123658	Pilosella visianii F.W.Schultz & Sch.Bip.	3123683			
Piptatherum miliaceum subsp. miliaceum	6067668	Achnatherum miliaceum (L.) P.Beauv.	4141737			
Piptatherum miliaceum subsp. thomasii (Duby) Freitag	4134872	Achnatherum miliaceum (L.) P.Beauv.	4141737			
Platanus hispanicus Muenchh.	8221404	Platanus hybrida Brot.	3152814			
Pleioblastus pumilus (Mitford) Nakai	4131135	Pleioblastus argenteostriatus (Regel) Nakai	4132188			
Polygonum arenarium subsp. pulchellum (Loisel.) D. A. Webb & Chater	7681832	Polygonum arenarium subsp. pulchellum (Loisel.) Thell.	8336551	ok: SYNONYM probably valid	other author, should be verified further	
Polypogon rioplatensis Herter	4153734	Polypogon imberbis (Phil.) Johow	4154206			
Polysiphonia harveyi Bailey, 1848	5277408	Neosiphonia harveyi (Bailey) M.-S.Kim, H.-G.Choi, Guiry & G.W.Saunders, 2001	5277404			
Polystichum tsus-simense (Hook.) J. Sm.	2651108	Polystichum luctuosum (Kze.) T. Moore	4046493			
Populus generosa A.Henry	3040245	Populus jackii Sarg.	3040241			
Populus nigra var. italica Münchh.	8154049	Populus nigra var. italica (Moench.) Koehne	7358677	ok: SYNONYM probably valid	other author, should be verified further	
Populus trichocarpa Torr. & Gray ex Hooker	6362904	Populus balsamifera subsp. trichocarpa (Torr. & Gray) Brayshaw	8694725			
Portulaca papillatostellulata (Danin & H.G.Baker) Danin	4022463	Portulaca macrantha (Maire) C. Ricceri & P.V. Arrigoni	4022910			
Potentilla indica (Jacks.) T.Wolf	8591421	Duchesnea indica (Jacks.) Focke	3031919	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/rjp-10798
Proasellus meridianus (Racovitza, 1919)	2206086	Asellus meridianus Racovitza, 1919	2206087	verify: SYNONYM unresolved	not in The Plant List	
Proboscidea louisianica Thell.	5415100	Proboscidea louisianica subsp. louisianica	7226243			
Prunus cerasus L.	3021922	Prunus avium (L.) L.	3020791			
Prunus persica (L.) Batsch	3022511	Prunus persica (L.) Stokes	8149923	ok: SYNONYM probably valid	other author, should be verified further	
Prunus virginiana L.	3022668	Prunus serotina Ehrh.	3021850			
Psephellus dealbatus (Willd.) K.Koch	3137829	Psephellus dealbatus (Willd.) Boiss.	7838007	ok: SYNONYM probably valid	other author, should be verified further	
Pterocarya fraxinifolia (Lam.) Spach	8288647	Pterocarya pterocarpa (Michx.) Kunth ex I. Iljinsk.	4205311			
Rana catesbeiana Shaw, 1802	2427092	Lithobates catesbeianus (Shaw, 1802)	2427091	ok: SYNONYM probably valid	synonym in other direction	http://ias.biodiversity.be/species/show/88
Reynoutria compacta (Hook. fil.) Nakai	6709291	Reynoutria japonica Houtt.	2889173	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2905898
Ribes odoratum H.L. Wendl.	6442224	Ribes aureum var. villosum DC.	4194303	verify: SYNONYM unresolved	considered synonym of Ribes aureum Pursh	http://www.theplantlist.org/tpl1.1/record/kew-2426558
Rorippa stylosa (Pers.) Mansf. & Rothm.	3053252	Rorippa pyrenaica (L.) Rchb.	8677936	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2416991
Rubrivena polystachya (Wall. ex Meisn.) M. Král	8696688	Rubrivena polystachya (Wall.) M. Král	4037343	ok: SYNONYM author variation	ex author	
Rumex fueginus R. Phil.	2888982	Rumex persicarioides var. fueginus (Phil.) A.Haines	7350964	verify: SYNONYM probably invalid	considered synonym of Rumex maritimus L.	http://www.theplantlist.org/tpl1.1/record/tro-26000918
Rumex kerneri Borbás	2889005	Rumex cristatus subsp. kerneri (Borbás) J.R. Akeroyd & D.A. Webb	4034971	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2423985
Ruta graveolens L.	3190382	Agathosma pulchella (L.) Link	3833118	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/kew-2527408
Salix sepulcralis nothovar. chrysocoma (Dode) Meikle	5373039	Salix sepulchralis var. chrysocoma (Dode) R.D. Meikle	7742596	ok: SYNONYM valid	nothovar. to var.	
Salvia lavandulifolia subsp. gallica W.Lippert	3898065	Salvia officinalis subsp. gallica (W.Lippert) Reales, D.Rivera & Obón	6411218	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-183008
Sasaella ramosa (Makino) Makino	4127352	Sasa ramosa (Makino) Makino & Shibata	5675849	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-441017
Saxifraga stolonifera Meerb.	8062061	Saxifraga stolonifera Curtis	3032762	ok: SYNONYM probably valid	other author, should be verified further	
Scabiosa atropurpurea L.	2888805	Sixalix atropurpurea subsp. atropurpurea	7301011	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2593568
Schkuhria pinnata var. abrotanoides (Roth) Cabrera	4247879	Schkuhria pinnata (Lam.) Kuntze ex Thell.	3101235	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-68459
Scirpus atrovirens subsp. georgianus (R.M.Harper) Verloove & Lambinon	8390304	Scirpus georgianus R.M.Harper	2720269	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-468182
Scorpiurus muricatus subsp. subvillosus (L.) Thell.	8082844	Scorpiurus muricatus L.	5358302	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/ild-37820
Scorpiurus muricatus subsp. sulcatus (L.) Thell.	5358307	Scorpiurus muricatus L.	5358302	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/ild-37821
Secale strictum (C.Presl) C.Presl	4121049	Secale montanum Guss.	2705967	verify: SYNONYM probably invalid	considered synonym of Secale cereale L.	http://www.theplantlist.org/tpl1.1/record/kew-441797
Sedum aizoon L.	5361976	Phedimus aizoon	8603974	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2483174
Sedum anacampseros L.	5687999	Hylotelephium anacampseros (L.) H.Ohba	4202184	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2484734
Sedum anopetalum DC.	5362017	Petrosedum anopetalum (DC.) V. Grulich	4200453	verify: SYNONYM probably invalid	considered synonym of Sedum ochroleucum Chaix.	http://www.theplantlist.org/tpl1.1/record/kew-2484785
Sedum hybridum L.	5362013	Phedimus middendorfianus	4201668	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2483834
Sedum sediforme (Jacq.) Pau	5688347	Petrosedum sediforme (Jacq.) V. Grulich	4201784	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2489469
Sedum spurium Bieb.	5362018	Phedimus spurius	4201607	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2489037
Sedum stoloniferum S. G. Gmel.	5362051	Phedimus stoloniferus	4201585	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2489101
Selaginella kraussiana (Kunze) A. Braun	2688189	Selaginella kraussiana (G. Kunze) A. Br.	8368980	ok: SYNONYM author variation	author variation	
Senecio vernalis Waldst. & Kit.	6063730	Senecio leucanthemifolius subsp. vernalis (Waldst. & Kit.) Greuter	4228701	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/gcc-44379
Sesbania exaltata (Rafinesque) Rydberg ex A.W. Hill	7394001	Sesbania herbacea (Mill.) McVaugh	2970585	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/ild-33213
Setaria adhaerens (Forssk.) Chiov.	5289670	Setaria verticillata (L.) P.Beauv.	5289686	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-442159
Setaria pumila (Poir.) Roem. & Schult.	5289693	Setaria helvola (L.f.) Roem. & Schult.	5673972	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-442645
Setaria verticillata var. ambigua (Guss.) Parl.	7908347	Setaria verticillata (L.) P.Beauv.	5289686	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/kew-442778
Sidalcea oregana A. Gray	8428499	Sidalcea malviflora subsp. malviflora	7226545	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/tro-19601134
Silene coeli-rosa (L.) Godr.	5384787	Eudianthe coeli-rosa (L.) Endl.	3814157	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-2485510
Silene scabriflora Brot.	8419625	Silene pendula L.	5384773	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/kew-2486882
Sinapis dissecta Lag.	3047634	Sinapis alba subsp. dissecta (Lag.) Simonk.	3047633	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2476471
Solanum aethiopicum var. aculeatum Dunal	2929889	Solanum aethiopicum L.	2929847	verify: SYNONYM unresolved	not in The Plant List	
Solanum nigrum subsp. schultesii (Opiz) Wessely	2932877	Solanum nigrum L.	2932865	verify: SYNONYM probably invalid	considered synonym of Solanum decipiens Opiz.	http://www.theplantlist.org/tpl1.1/record/tro-29603766
Solanum physalifolium var. nitidibaccatum (Bitter) Edmonds	2932146	Solanum physalifolium Rusby	2932144	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/tro-29603058
Solanum triflorum var. ponticum (Prodan) Borza	2931238	Solanum triflorum Nutt.	2931237	verify: SYNONYM unresolved	not in The Plant List	
Solanum villosum subsp. miniatum (Bernh. ex Willd.) Edmonds	6290046	Solanum villosum Mill.	2929505	verify: SYNONYM unresolved	not in The Plant List	
Solidago graminifolia (L.) Salisb.	5387035	Euthamia graminifolia (L.) Nutt.	3092782	ok: SYNONYM probably valid	synonym in other direction	http://alienplantsbelgium.be/taxonomy/term/3560/descriptions
Soliva pterosperma (Juss.) Less.	3092698	Soliva sessilis Ruiz & Pav.	3092691	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-109759
Spiraea ×vanhouttei (Briot) Carrière	8236373	Spiraea vanhouttei (Briot) Zabel	3026622	ok: SYNONYM probably valid	other author, should be verified further	
Spiraea brachybotrys Lange	3026426	Spiraea canescens D. Don	3027138	verify: SYNONYM probably invalid	considered 2 accepted species	http://www.theplantlist.org/tpl1.1/record/rjp-297
Spiraea chamaedrifolia subsp. ulmifolia (Scop.) J. Duvigneaud	8324534	Spiraea chamaedryfolia L.	3026406	verify: SYNONYM unresolved	not in The Plant List	
Spirobassia hirsuta (L.) Freitag & G. Kadereit	8243150	Bassia crassifolia (Pall.) Soldano	5568298	ok: SYNONYM probably valid	unresolved, suggested synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-2902756
Stachys macrantha (C. Koch) Stearn	3881468	Betonica macrantha C. Koch.	7876454	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-195289
Stellaria media subsp. cupaniana (Jord. & Fourr.) Nym.	7625143	Stellaria neglecta subsp. cupaniana (Jord. & Fourr.) Gutermann	8319214	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/kew-2869948
Stipa bromoides (L.) Dörfl.	4143865	Achnatherum bromoides (L.) P.Beauv.	4142335	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-444809
Strigosella africana var. laxa (Lam.) Botsch.	5373456	Strigosella africana (L.) Botsch.	5373440	verify: SYNONYM probably invalid	considered synonym of Malcolmia africana (L.) R.Br.	http://www.theplantlist.org/tpl1.1/record/tro-50202609
Symphoricarpos albus (L.) S.F.Blake	2888634	Symphoricarpos albus (L.) C. Koch	7523753	ok: SYNONYM probably valid	other author, should be verified further	
Symphyotrichum laeve (L.) A	7868501	Symphyotrichum laeve (L.) Á.Löve & D.Löve	8421156	ok: SYNONYM author variation	author variation	
Symphyotrichum lanceolatum (Willd.) G.L.Nesom	3151397	Aster lanceolatus (Hook.) Kuntze	7469966	verify: SYNONYM probably invalid	considered accepted	http://www.theplantlist.org/tpl1.1/record/gcc-112167
Symphyotrichum lateriflorum (L.) Á.Löve & D.Löve	7832723	Symphyotrichum lateriflorum	3151522	ok: SYNONYM valid	accepted has no author	
Symphyotrichum subulatum (Michx.) G.L.Nesom	3094253	Aster subulatus Hort. ex Steud.	7600444	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-93622
Taeniatherum caput-medusae var. caput-medusae	4932718	Taeniatherum caput-medusae (L.) Nevski	2705666	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/tro-25543951
Thinopyrum ponticum (Podp.) Barkworth & D.R.Dewey	2704143	Thinopyrum elongatum (Host) D.R.Dewey	4125808	verify: SYNONYM probably invalid	considered synonym of Elymus elongatus (Host) Runemark.	http://www.theplantlist.org/tpl1.1/record/kew-446502
Thymus pannonicus All.	5341447	Thymus pulegioides subsp. pannonicus (All.) Kerguélen	5605749	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-205212
Tinantia erecta (Jacq.) Schltdl.	8370695	Tinantia erecta (Jacq.) Fenzl	5303524	ok: SYNONYM probably valid	other author, should be verified further	
Trachyspermum ammi (L.) Sprague ex Turrill	8244019	Trachyspermum ammi (L.) Sprague	3034241	ok: SYNONYM author variation	ex author	
Trigonella corniculata (L.) L.	5360388	Trigonella balansae Boiss. & Reut.	5360384	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/ild-9078
Trisetaria michelii (Savi) D.Heller	4114539	Rostraria festucoides (Link) Romero Zarco	5678081	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-447667
Triticum dicoccum Schrank ex Schübl.	8168170	Triticum turgidum subsp. dicoccum (Schrank ex Schübl.) Thell.	8389446	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-448565
Triticum durum Desf.	2706389	Triticum turgidum subsp. durum (Desf.) Husn.	6313051	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-448630
Triticum polonicum L.	2706421	Triticum turgidum subsp. polonicum (L.) Thell.	6313049	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-448906
Triticum spelta L.	2706402	Triticum aestivum subsp. spelta (L.) Thell.	2706403	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-449032
Tulipa tarda Stapf	5299589	Tulipa urumiensis Stapf	5299590	ok: SYNONYM probably valid	synonym in other direction	http://www.theplantlist.org/tpl1.1/record/kew-290007
Typhonium venosum (Dryand. ex Aiton) Hett. & P.C.Boyce	2869586	Sauromatum venosum (Dryand. ex Aiton) Kunth	2869597	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-209544
Urochloa mutica (Forssk.) T.Q.Nguyen	2705848	Brachiaria mutica (Forssk.) Stapf	2705851	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-449511
Urochloa plantaginea (Link) R.D.Webster	2705828	Panicum brevifolium L.	4153922	verify: SYNONYM probably invalid	considered synonym of Brachiaria plantaginea (Link) Hitchc.	http://www.theplantlist.org/tpl1.1/record/kew-449527
Urochloa platyphylla (Munro ex C.Wright) R.D.Webster	2705854	Brachiaria platyphylla (Munro ex C.Wright) Nash	2705857	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-449529
Verbesina alternifolia (L.) Britton	8691721	Verbesina alternifolia (L.) Britton ex Kearney	3147815	ok: SYNONYM author variation	ex author	
Vicia dalmatica A.Kern.	3973636	Vicia tenuifolia subsp. dalmatica (A.Kern.) Greuter	3971572	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/ild-9106
Vicia loiseaui (Alleiz.) Fridl.	8341222	Vicia melanops var. loiseaui Alleiz.	2974823	verify: SYNONYM unresolved	unresolved, no further info	http://www.theplantlist.org/tpl1.1/record/kew-2897748
Vulpia alopecuros (Schousb.) Dumort.	7477513	Vulpia alopecuros (Schousb.) Link	5827791	ok: SYNONYM probably valid	other author, should be verified further	
Vulpia myuros var. megalura (Nutt.) Auquier	8091833	Vulpia myuros (L.) C.C.Gmel.	5289590	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-450055
Weigela floribunda (Siebold & Zucc.) K. Koch	2888732	Weigela floribunda (Sieb. & Zucc.) C. A. Mey.	8011733	ok: SYNONYM probably valid	other author, should be verified further	
Xanthium ambrosioides Hook. & Arn.	3089140	Xanthium spinosum L.	3089150	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/gcc-80449
Xerochrysum bracteatum (Vent.) Tzvelev	3102871	Xerochrysum bracteatum (Vent.) Tzevelev	7415946	ok: SYNONYM author variation	author variation	
Zuloagaea bulbosa (Kunth) Bess	4138275	Panicum bulbosum Kunth	2705106	ok: SYNONYM valid	synonym in same direction	http://www.theplantlist.org/tpl1.1/record/kew-451002