phylum	Order	Family	Species	Origin	First occurrence in Flanders	Pathway of introduction	Salinity zone	Reference
ANNELIDA	Sabellida	Sabellidae	Laonome calida	Australia	2014	shipping	Freshwater/Brackish	This study
ANNELIDA		Serpulidae	Ficopomatus enigmaticus	Asia	1950	shipping	Freshwater/Brackish	Leloup and Lefevre 1952
ANNELIDA	Spionida	Spionidae	Marenzelleria viridis	North-America	1995	shipping	Brackish	Ysebaert et al. 1997
ANNELIDA			Marenzelleria neglecta	North-America	2008	shipping	Brackish	Soors et al. 2013
ANNELIDA	Terebellida	Ampharetidae	Hypania invalida	Ponto-Caspian	2000	shipping	Freshwater	Vercauteren et al. 2005
ANNELIDA	Tubficida	Naididae	Branchiodrilus hortensis	Asia, Africa and Australia	2010	shipping, corridors	Freshwater	Soors et al. 2013
ANNELIDA			Bratislavia dadayi	Southern hemisphere, China and USA	2002	shipping, corridors	Freshwater	Soors et al. 2013
ANNELIDA		Tubificidae	Branchiura sowerbyi	East-Asia	1931	shipping	Freshwater/Brackish	Damas 1938
ANNELIDA			Limnodrilus cervix	North-America	2009	shipping	Freshwater	Soors et al. 2013
ANNELIDA			Monopylephorus limosus	Asia	2002	shipping	Freshwater	Soors et al. 2013
ANNELIDA			Potamothrix vejdovskyi	Ponto-Caspian	2009	shipping	Freshwater	Soors et al. 2013
ANNELIDA			Psammoryctides moravicus	Ponto-Caspian	2008	shipping	Freshwater	Soors et al. 2013
ANNELIDA			Quistadrilus multisetosus	North-America	1996	shipping	Freshwater	Seys et al. 1999
ANNELIDA			Tasserkidrilus americanus	North-America	2006	shipping	Freshwater	Soors et al. 2013
CRUSTACEA	Amphipoda	Caprellidae	Caprella mutica	Northeast-Asia	1998	shipping, aquaculture	Marine	Cook et al. 2007
CRUSTACEA		Corophidae	Chelicorophium curvispinum	Ponto-Caspian	1990	corridors	Freshwater/Brackish	Vercauteren et al. 2006
CRUSTACEA			Monocorophium sextonae 	New Zealand	1993	shipping	Brackish/Marine	Dewicke 2002
CRUSTACEA		Crangonictidae	Crangonyx pseudogracilis	North-America	1992	shipping	Freshwater	Wouters 2002
CRUSTACEA			Synurella ambulans	Ponto-Caspian	2003	aquaculture	Freshwater	Boets et al. 2010b
CRUSTACEA		Gammaridae	Dikerogammarus villosus	Ponto-Caspian	1997	corridors	Freshwater/Brackish	Messiaen et al. 2010
CRUSTACEA			Echinogammarus berilloni	South-Europe	1925	corridors	Freshwater	Wouters 2002
CRUSTACEA			Echinogammarus trichiatus	Ponto-Caspian	2009	corridors	Freshwater	Boets et al. 2012c 
CRUSTACEA			Gammarus roeseli	South-Europe	1937	corridors	Freshwater	Collection RBINS
CRUSTACEA			Gammarus tigrinus	North-America	1991	corridors	Freshwater/Brackish	Messiaen et al. 2010
CRUSTACEA		Melitidae	Melita nitida	North-America	1996	shipping	Marine	Faasse and Van Moorsel, 2003
CRUSTACEA		Pleustidae	Incisocalliope aestuarius	North-America	1996	shipping	Brackish/Marine	Faasse and Van Moorsel 2003
CRUSTACEA		Talitridae	Orchestia cavimana	Ponto-Caspian	1927	shipping, corridors	Freshwater/Brackish	Wouters 2002
CRUSTACEA		Tanaidae	Sinelobus vanhaareni	unknown	2007	shipping, aquaculture	Brackish	Van  Haaren and Soors 2009
CRUSTACEA	Decapoda	Astacidae	Astacus leptodactylus	East-Europe	1986	aquaculture	Freshwater	Gerard 1986
CRUSTACEA			Pacifastacus leniusculus	North-America	1986	aquaculture	Freshwater	Gerard 1986
CRUSTACEA		Atyidae	Athyaephyra desmaresti	South-Europe	1895	aquarium trade	Freshwater	Wouters 2002
CRUSTACEA		Cambaridae	Procambarus clarkii	North-America	2008	aquaculture, aquarium trade	Freshwater	Boets et al. 2009
CRUSTACEA			Orconectes limosus	North-America	1977	aquaculture, aquarium trade	Freshwater	Wouters 2002
CRUSTACEA		Panopeidae	Rhithropanopeus harrisii 	North-America	1991	shipping	Freshwater/Brackish	Van Damme et al. 1992
CRUSTACEA		Palaemonidae	Palaemon macrodactylus	Southeast-Asia	1999	shipping	Freshwater/Brackish	Boets et al. 2011b
CRUSTACEA		Portunidae	Callinectes sapidus	North-America	1993	shipping	Brackish/Marine	Van Damme and Maes 1993
CRUSTACEA		Varunidae	Eriocheir sinensis	Southeast-Asia	1933	shipping	Freshwater/Brackish	Wouters 2002
CRUSTACEA			Hemigrapsus takanoi	North-America	2003	shipping, aquaculture	Marine	Dumoulin 2004
CRUSTACEA			Hemigrapsus sanguineus 	North-America	2006	shipping, aquaculture	Marine	Nuyttens et al. 2006
CRUSTACEA	Isopoda	Asellidae	Proasellus coxalis	South-Europe	1998	shipping, corridors, other	Freshwater/Brackish	Boets et al. unpub data
CRUSTACEA			Proasellus meridianus	South-Europe	1945	shipping, corridors, other	Freshwater/Brackish	Collection RBINS
CRUSTACEA		Idoteidae	Synidotea laticauda	North-America	2005	shipping	Brackish	Soors et al. 2010
CRUSTACEA		Janiridae	Jaera istri	Ponto-Caspian	2000	shipping, corridors	Freshwater	Messiaen et al. 2010
CRUSTACEA	Mysida	Mysidae	Hemimysis anomala	Ponto-Caspian	1999	shipping, others	Freshwater/Brackish	Verslycke et al. 2000
CRUSTACEA			Limnomysis benedeni	Ponto-Caspian	2005	shipping, corridors	Freshwater	Lock et al. 2007
CRUSTACEA	Sessilia	Austrobalanidae 	Elminius modestus	Australia-Asia	1950	shipping	Marine	Leloup and Lefevre 1952
CRUSTACEA		Balanidae	Amphibalanus amphitrite	South-Europe	1952	shipping	Marine	Kerckhof and Catrijsse 2001
CRUSTACEA			Amphibalanus improvisus	West-Atlantic	before 1700	shipping	Marine	Kerckhof and Catrijsse 2001
CRUSTACEA			Megabalanus tintinnabulum	West-Africa, Indio-Pacific	1998	shipping	Marine	Kerckhof and Catrijsse 2001
CRUSTACEA			Megabalanus coccopoma	South-America	1997	shipping	Marine	Kerckhof and Catrijsse 2001
CRUSTACEA			Amphibalanus reticulatus	Tropical and warm seas	1997	shipping	Marine	Kerckhof and Catrijsse 2001
MOLLUSCA	Euheterodonta 	Pharidae	Austrominius directus	North-America 	1987	shipping, other	Marine	Kerckhof and Dumoulin 1987
MOLLUSCA	Littorinimorpha 	Calyptraeidae 	Crepidula fornicata	North-America 	1911	shipping, other	Marine	Adam  and Leloup 1934
MOLLUSCA	Myoida	Myidae	Mya arenaria	North-America 	< 1700	shipping, other	Marine	Kerckhof et al. 2007
MOLLUSCA		Teredinidae	Teredo navalis	Unknown	1730-1732	shipping, other	Marine	Sellius 1733
MOLLUSCA			Psiloteredo megotara	Unknown 	<1600	shipping, other	Marine	Backeljau 1986
MOLLUSCA	Neotaenioglossa	Hydrobiidae	Lithoglyphus naticoides	Ponto-Caspian	1924	corridors	Freshwater	Adam 1947
MOLLUSCA			Potamopyrgus antipodarum	New Zealand	1927	shipping	Freshwater/Brackish	Adam 1947
MOLLUSCA	Ostreoida	Ostreidae	Crassostrea gigas	Southeast-Asia	1969	aquaculture	Brackish/Marine	Leloup 1971
MOLLUSCA	Pulmonata	Planorbidae	Menetus dilatatus	North-America	1998	shipping, corridors	Freshwater	Sablon et al. 2010a
MOLLUSCA			Ferrissia fragilis	North-Africa	1937	aquarium trade	Freshwater	Van Goethem and Sablon 1986
MOLLUSCA		Physidae	Physella acuta	North-America	1869	other	Freshwater	Adam 1947
MOLLUSCA	Unionoida	Unionidae	Sinanodonta woodiana	Asia	1999	aquaculture	Freshwater	Keppens and Mienis 2004
MOLLUSCA	Veneroidea	Corbiculidae	Corbicula fluminalis	Asia	1992	shipping, corridors	Freshwater	Swinnen et al. 1998
MOLLUSCA			Corbicula fluminea	Asia	1992	shipping, corridors	Freshwater	Swinnen et al. 1998
MOLLUSCA		Dreissenidae	Dreissena polymorpha	Ponto-Caspian	1834	corridors	Freshwater	Adam 1947
MOLLUSCA			Dreissena rostriformis bugensis	Ponto-Caspian	2009	corridors	Freshwater	Sablon et al. 2010b
MOLLUSCA			Mytilopsis leucophaeta	North-America	1835	shipping	Freshwater/Brackish	Nyst 1835; Adam 1947
MOLLUSCA		Mactridae	Rangia cuneata	North-America	2004	shipping	Freshwater/Brackish	Verween et al. 2006
MOLLUSCA		Veneridae	Petricolaria pholadiformis	North-America 	1899	aquaculture, other	Marine	Loppens 1902
MOLLUSCA			Mercenaria mercenaria	North-America 	1933	shipping	Marine	Vandepitte et al. 2012
PLATYHELMINTHES	Seriata	Dugesiidae	Dugesia tigrina	North-America	2004	other	Freshwater	Vercauteren et al. 2006
PLATYHELMINTHES		Dendrocoelidae	Dendrocoelum romanodanubiale	Ponto-Caspian	2001	corridors	Freshwater	Vercauteren et al. 2005
